rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
93,TDK MT300,in-ear,0.000858,93.6,5.0108,5.0108,0.0,0.0,1.25,0.4444,103.4,0.000738,0.001003,1,False,False,62.8076,False
94,Spider PowerForce,over-ear,0.000858,93.6,5.6515,5.6515,0.0,0.0,1.25,0.4444,91.7,0.000738,0.001003,1,False,False,75.8743,False
95,ETA Mini Closed,over-ear,0.000858,93.5,6.4667,6.4667,0.0,0.0,1.25,0.4444,80.09,0.000739,0.001003,1,False,False,57.2059,False
96,Moondrop Sparks,in-ear,0.000857,93.4,6.1739,6.1739,0.0,0.0,1.25,0.4444,84.01,0.000738,0.001002,1,False,False,112.8486,False
97,Koss Porta Pro (sample 1),over-ear,0.000855,93.3,5.9489,5.9489,0.0,0.0,1.25,0.4444,87.37,0.000736,0.001,1,False,False,66.0058,False
98,EarFun Air Pro 2 (B eartips),in-ear,0.000854,93.3,6.1759,6.1759,0.0,0.0,1.25,0.4444,84.28,0.000735,0.000998,1,False,False,114.9439,False
99,Beats Solo 4,over-ear,0.000851,93.2,9.1762,9.1762,0.0,0.0,1.25,0.4444,56.9,0.000733,0.000995,1,False,False,37.7511,False
100,Sennheiser HD 25-1 II B (2012),over-ear,0.00085,93.1,5.983,5.983,0.0,0.0,1.25,0.4444,87.37,0.000732,0.000994,1,False,False,77.8617,False
101,Sennheiser HD 560S (worn earpads),over-ear,0.00084,93.1,6.1437,6.1437,0.0,0.0,1.25,0.4444,86.12,0.000723,0.000982,1,False,False,50.6278,False
102,Rose Star City 5 Pro,in-ear,0.000836,93.0,4.9541,4.9541,0.0,0.0,1.25,0.4444,107.26,0.00072,0.000978,1,False,False,84.9234,False
103,Jaybird Run,in-ear,0.000834,92.9,6.6297,6.6297,0.0,0.0,1.25,0.4444,80.4,0.000718,0.000975,1,False,False,72.4153,False
104,Sony WF-1000X,in-ear,0.000832,92.9,4.4275,4.4275,0.0,0.0,2.3321,0.3001,81.46,0.000657,0.001093,2,False,False,73.1264,False
105,JBL Live 400BT,over-ear,0.000832,92.8,6.4571,6.4571,0.0,0.0,1.25,0.4444,82.77,0.000716,0.000972,1,False,False,63.8995,False
106,SteelSeries Arctis 7+,over-ear,0.000831,92.7,6.6353,6.6353,0.0,0.0,1.25,0.4444,80.56,0.000716,0.000972,1,False,False,55.0442,False
107,Etymotic ER4XR (foam eartips),in-ear,0.00083,92.6,6.639,6.639,0.0,0.0,1.25,0.4444,80.69,0.000714,0.00097,1,False,False,135.9493,False
108,FIIL Key,in-ear,0.000826,92.6,5.4999,5.4999,0.0,0.0,1.25,0.4444,97.77,0.000712,0.000966,1,False,False,79.8216,False
109,Sennheiser HD 600 (2020),over-ear,0.000825,92.5,6.1645,6.1645,0.0,0.0,1.25,0.4444,87.37,0.00071,0.000965,1,False,False,63.2776,False
110,"ZMF Bokeh Closed (suede earpads, burst mesh)",over-ear,0.000825,92.4,6.5818,6.5818,0.0,0.0,1.25,0.4444,81.81,0.000711,0.000965,1,False,False,86.7985,False
